ITERATION    ENERGY(E)
     1      -14.282
     2      -15.282
     3      -16.282
     4      -17.282
     5      -21.886
     6      -24.886
     7      -27.886
     8      -30.886
     9      -33.886
    10      -36.886
    11      -39.886
    12      -42.886
    13      -45.886
    14      -48.886
    15      -51.886
    16      -56.275
    17      -60.275
    18      -64.275
    19      -68.275
    20      -72.275
    21      -76.275
    22      -80.275
    23      -84.275
    24      -88.275
    25      -92.275
    26      -96.275
    27     -100.275
    28     -104.275
    29     -108.275
    30     -112.275
    31     -116.275
    32     -120.275
    33     -124.275
    34     -128.275
    35     -132.275
    36     -136.275
    37     -140.275
    38     -144.275
    39     -148.275
    40     -152.275
    41     -156.275
    42     -160.275
    43     -164.275
    44     -168.275
    45     -172.275
    46     -176.275
    47     -180.275
    48     -184.275
    49     -188.275
    50     -192.275
    51     -196.275
    52     -200.275
    53     -204.275
    54     -208.275
    55     -212.275
    56     -216.275
    57     -220.275
    58     -224.275
    59     -228.275
    60     -232.275
    61     -236.275
    62     -240.275
    63     -244.275
    64     -248.275
    65     -252.275
    66     -256.275
    67     -260.275
    68     -264.275
    69     -268.275
    70     -272.275
    71     -276.275
    72     -280.275
    73     -284.275
    74     -288.275
    75     -292.275
    76     -296.275
    77     -300.275
    78     -304.275
    79     -308.275
    80     -312.275
    81     -316.275
    82     -320.275
    83     -324.275
    84     -328.275
    85     -332.275
    86     -336.275
    87     -340.275
    88     -344.275
    89     -348.275
    90     -352.275
    91     -356.275
    92     -360.275
    93     -364.275
    94     -368.275
    95     -372.275
    96     -376.275
    97     -380.275
    98     -384.275
    99     -388.275

 Input activation after convergence is:
   1   1   1   1  -1
 
 Output activation after convergence is:
   1   1   1   1   1
 
 Weight W is:
  17.253,  19.897,  19.351,  15.871,  19.050
  19.042,  21.112,  21.673,  16.978,  18.694
  21.291,  19.980,  20.161,  15.984,  19.796
  19.660,  21.724,  19.352,  16.700,  17.080
  -1.878,  -1.724,  -0.359,  -1.861,  -1.804
